,ID,ID,ID,RunfileC,pcC,normd13C,d13Csd,RunfileN,pcN,normd15N,d15Nsd,,RunfileC,pcC,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd
159,RYE2454A,RYE2454A,RYE2454A,181206,61.87366082,-25.5344956,0.072547847,200825,2.394457232,3.495901816,0.403059218,,,,,,,,,,
160,RYE2454B,RYE2454B,RYE2454B,181206,60.27564151,-25.45739584,0.072324769,200825,2.439873414,3.895736831,0.402665552,,,,,,,,,,
161,RYE2454C,RYE2454C,RYE2454C,181206,61.57455433,-25.46532232,0.072347654,200825,2.545942125,2.727279405,0.404359434,,,,,,,,,,
162,RYE2458B,RYE2458B,RYE2458B,181206,65.61020412,-25.28037739,0.071816637,NA,NA,NA,NA,,,,,,,,,,
163,RYE2458BDA,RYE2458BDA,RYE2458BDA,NA,NA,NA,NA,200825,2.462321472,2.764645226,0.404279763,,,,,,,,,,
164,RYE2458BDB,RYE2458BDB,RYE2458BDB,NA,NA,NA,NA,200825,2.304178024,2.681569472,0.404459175,,,,,,,,,,
165,RYE2458C,RYE2458C,RYE2458C,NA,NA,NA,NA,200825,2.364578885,3.000610967,0.403815412,,,,,,,,,,
166,RYE2458CDA,RYE2458CDA,RYE2458CDA,181206,55.71130584,-25.84927837,0.073469486,NA,NA,NA,NA,,,,,,,,,,
167,RYE2458CDB,RYE2458CDB,RYE2458CDB,181206,59.29107877,-25.74805203,0.07317123,NA,NA,NA,NA,,,,,,,,,,
168,RYE2458D,RYE2458D,RYE2458D,181206,63.66420673,-24.75367416,0.070339151,190208,2.507338698,4.98567036,0.285817658,,,,,,,,,,
169,RYE26024A,RYE26024A,RYE26024A,181213,65.06767517,-25.8023929,0.097725088,190214,2.422366677,3.475996217,0.380533438,,,,,,,,,,
170,RYE26024B,RYE26024B,RYE26024B,181213,65.23859275,-25.33882382,0.096889554,190214,2.38018851,2.845795084,0.388404285,,,,,,,,,,
171,RYE26024C,RYE26024C,RYE26024C,NA,NA,NA,NA,190214,2.575672047,4.571495738,0.36841597,,,,,,,,,,
172,RYE26024CDA,RYE26024CDA,RYE26024CDA,181213,61.97327053,-25.33037722,0.096874772,NA,NA,NA,NA,,,,,,,,,,
173,RYE26024CDB,RYE26024CDB,RYE26024CDB,181213,70.13136919,-25.30817545,0.096835993,NA,NA,NA,NA,,,,,,,,,,
174,RYE2604A,RYE2604A,RYE2604A,181213,65.07902535,-25.2481884,0.096731768,190214,2.611998233,4.461134074,0.36954224,,,,,,,,,,
