,ID,ID,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd,,,
140,RYE2154EDA,RYE2154EDA,RYE2154EDA,288.5172919,181031,43.06228237,38.58945812,-25.82037348,0.082087041,NA,NA,NA,NA,NA,,,
141,RYE2154EDB,RYE2154EDB,RYE2154EDB,320.5989438,181031,51.70950706,43.3599389,-25.75069001,0.082038757,NA,NA,NA,NA,NA,,,
142,RYE2158B,RYE2158B,RYE2158B,302.9167821,181031,45.21146001,38.13903565,-26.03039395,0.082235899,54.86236917,181112,1.399550234,4.34983502,0.268487698,,,
143,RYE2158C,RYE2158C,RYE2158C,314.6569748,181031,48.40876535,41.11392858,-25.88101167,0.082129507,57.45790634,181112,1.45463054,3.586436543,0.271846317,,,
144,RYE2158E,RYE2158E,RYE2158E,292.7954525,181031,43.70081381,43.89241922,-25.6846581,0.081993513,54.93556374,181112,1.426897759,5.519361206,0.26429557,,,
145,RYE23024A,RYE23024A,RYE23024A,525.5487295,181129,66.52515563,38.70087544,-25.28189959,0.077967731,62.49378818,190228,3.109143691,3.513702282,0.336853472,,,
146,RYE23024A,RYE23024A,RYE23024A,525.5487295,181129,66.52515563,38.70087544,-25.28189959,0.077967731,128.0051638,181210,2.83197265,4.98542496,0.378593637,,,
147,RYE23024B,RYE23024B,RYE23024B,513.8001941,181129,61.16668977,37.22367273,-25.13976381,0.077461694,82.83163863,190228,4.226104012,3.741957272,0.334524736,,,
148,RYE23024B,RYE23024B,RYE23024B,513.8001941,181129,61.16668977,37.22367273,-25.13976381,0.077461694,131.2121457,181210,2.840089734,5.021985655,0.378382803,,,
149,RYE23024C,RYE23024C,RYE23024C,498.1245345,181129,59.30053982,43.29226547,-25.05685436,0.077168657,112.0705467,190228,5.548046866,3.850180071,0.333439075,,,
150,RYE23024C,RYE23024C,RYE23024C,498.1245345,181129,59.30053982,43.29226547,-25.05685436,0.077168657,116.0260038,181210,2.52230443,4.992480854,0.378552599,,,
151,RYE2304A,RYE2304A,RYE2304A,458.449288,181129,56.59867753,36.02092446,-25.39296974,0.078366345,80.01172101,190228,3.941464089,4.526644736,0.326930404,,,
152,RYE2304A,RYE2304A,RYE2304A,458.449288,181129,56.59867753,36.02092446,-25.39296974,0.078366345,150.0877476,181210,3.227693497,6.213413115,0.373998178,,,
153,RYE2304B,RYE2304B,RYE2304B,430.5936599,181129,51.8787542,42.96011177,-25.7642876,0.079718614,79.73212364,190228,3.986606182,3.116628785,0.341027677,,,
154,RYE2304B,RYE2304B,RYE2304B,430.5936599,181129,51.8787542,42.96011177,-25.7642876,0.079718614,110.4900633,181210,2.488514939,4.035961762,0.385609656,,,
155,RYE2304EDA,RYE2304EDA,RYE2304EDA,479.9247776,181129,57.1339021,45.12723068,-25.26948169,0.077923337,105.4029485,181210,2.337094202,4.333267898,0.383097704,2.2946921,4.205826822,0.384165838
